filename,w,h,uses,pages,what,status,url
clWn37d.png,618,401,1,269,The Goddess Sword and Sacred Flames,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/clWn37d.png
czftaKM.png,56,55,1,271,The Four Elements,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/czftaKM.png
eL3t3tP.png,1000,2578,1,33,Twili,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/eL3t3tP.png
eoKYHgt.png,600,600,1,270,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/eoKYHgt.png
f3pjCRO.png,250,327,1,19,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/f3pjCRO.png
fr5MmwX.png,57,59,1,271,The Four Elements,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/fr5MmwX.png
frHOB80.png,60,56,1,271,The Four Elements,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/frHOB80.png
hBdjwi6.png,1500,750,1,1,Front cover,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/hBdjwi6.png
hCt9pcZ.png,629,1195,1,25,Hylian,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/hCt9pcZ.png
hbvMrIc.png,524,516,1,78,Masked Wanderer,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/hbvMrIc.png
i26o1Z6.png,396,600,1,280,DM Guide,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/i26o1Z6.png
jDww5YJ.png,600,940,1,48,Adventurer,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/jDww5YJ.png
lT19jIF.png,1000,1972,1,94,Shaman,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/lT19jIF.png
lozbotw-fauna_cut.png,1237,886,1,52,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/lozbotw-fauna_cut.png
lozbotw-hylian-gear_soft.png,900,1200,1,242,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/lozbotw-hylian-gear_soft.png
lozbotw-hyrulean-gear_soft.png,1240,830,1,244,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/lozbotw-hyrulean-gear_soft.png
lozbotw-monster-gear_soft.png,1060,1300,1,247,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/lozbotw-monster-gear_soft.png
lozbotw-rito-gear_soft.png,970,1300,1,246,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/lozbotw-rito-gear_soft.png
lozbotw-zora-gear_soft.png,950,1300,1,249,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/lozbotw-zora-gear_soft.png
mUYvYG7.png,1024,994,1,20,Gerudo,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/mUYvYG7.png
n9JWScA.png,598,417,1,174,Red Bokoblin,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/n9JWScA.png
nEYGYjB.png,600,600,1,270,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/nEYGYjB.png
nqCQhOm.png,640,520,1,262,Relics,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/nqCQhOm.png
oNiuhuv.png,1000,1976,1,91,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/oNiuhuv.png
oSo9nxL.png,1000,1245,1,23,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/oSo9nxL.png
qNg6Qbo.png,618,401,1,269,The Goddess Sword and Sacred Flames,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/qNg6Qbo.png
qiuSnsF.png,467,599,1,22,Goron,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/qiuSnsF.png
races-chapter-banner.jpg,1280,720,1,17,Races of Hyrule,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/races-chapter-banner.jpg
sHGb2Ad.png,514,600,1,177,Red Moblin,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/sHGb2Ad.png
sHctIdH.png,1200,1200,1,32,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/sHctIdH.png
sKH2AP2.png,250,136,1,25,Hylian,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/sKH2AP2.png
sUc8XRV.png,618,401,1,269,The Goddess Sword and Sacred Flames,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/sUc8XRV.png
tS1UFxB.png,2631,1567,1,25,Hylian,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/tS1UFxB.png
uHbMTtF.png,1000,1419,1,71,Interloper,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/uHbMTtF.png
vGeJq8o.png,1254,1254,1,19,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/vGeJq8o.png
wDN67zd.png,800,1208,1,184,Variants,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/wDN67zd.png
wFufXFC.png,465,530,1,27,Kokiri,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/wFufXFC.png
wxWjIDc.png,480,480,1,238,Items,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/wxWjIDc.png
yBH7OfY.png,950,1360,1,89,Sage,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/yBH7OfY.png
yN8Jcei.png,1800,2200,1,176,Silver Bokoblin,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/yN8Jcei.png
zRTSHVc.png,1280,1216,2,171 221,Enemies,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/zRTSHVc.png
zelda-magic-soft.png,1420,799,1,44,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/zelda-magic-soft.png
